Wheat Chromosome Arm :UCW (94,177):UniGene v60 (56,954):Total (151,131)
1AL:3,251 (3.45%):1,404 (2.47%):4,655 (3.08%)
1AS:1,366 (1.45%):560 (0.98%):1,926 (1.27%)
1BL:2,610 (2.77%):1,280 (2.25%):3,890 (2.57%)
1BS:1,487 (1.58%):693 (1.22%):2,180 (1.44%)
1DL:997 (1.06%):1,057 (1.86%):2,054 (1.36%)
1DS:753 (0.80%):687 (1.21%):1,440 (0.95%)
2AL:3,491 (3.71%):1,460 (2.56%):4,951 (3.28%)
2AS:2,305 (2.45%):974 (1.71%):3,279 (2.17%)
2BL:3,658 (3.88%):1,546 (2.71%):5,204 (3.44%)
2BS:2,790 (2.96%):1,139 (2.00%):3,929 (2.60%)
2DL:1,098 (1.17%):1,069 (1.88%):2,167 (1.43%)
2DS:796 (0.85%):833 (1.46%):1,629 (1.08%)
3AL:2,135 (2.27%):978 (1.72%):3,113 (2.06%)
3AS:1,543 (1.64%):718 (1.26%):2,261 (1.50%)
3B:6,559 (6.96%):2,839 (4.98%):9,398 (6.22%)
3DL:915 (0.97%):938 (1.65%):1,853 (1.23%)
3DS:412 (0.44%):450 (0.79%):862 (0.57%)
4AL:3,393 (3.60%):1,335 (2.34%):4,728 (3.13%)
4AS:2,011 (2.14%):817 (1.43%):2,828 (1.87%)
4BL:2,119 (2.25%):898 (1.58%):3,017 (2.00%)
4BS:1,946 (2.07%):892 (1.57%):2,838 (1.88%)
4DL:1,069 (1.14%):945 (1.66%):2,014 (1.33%)
4DS:800 (0.85%):699 (1.23%):1,499 (0.99%)
5AL:2,640 (2.80%):1,132 (1.99%):3,772 (2.50%)
5AS:963 (1.02%):407 (0.71%):1,370 (0.91%)
5BL:5,324 (5.65%):1,943 (3.41%):7,267 (4.81%)
5BS:1,360 (1.44%):591 (1.04%):1,951 (1.29%)
5DL:2,067 (2.19%):1,688 (2.96%):3,755 (2.48%)
5DS:620 (0.66%):614 (1.08%):1,234 (0.82%)
6AL:2,397 (2.55%):896 (1.57%):3,293 (2.18%)
6AS:2,285 (2.43%):936 (1.64%):3,221 (2.13%)
6BL:1,564 (1.66%):820 (1.44%):2,384 (1.58%)
6BS:1,308 (1.39%):731 (1.28%):2,039 (1.35%)
6DL:1,399 (1.49%):1,050 (1.84%):2,449 (1.62%)
6DS:870 (0.92%):680 (1.19%):1,550 (1.03%)
7AL:1,918 (2.04%):849 (1.49%):2,767 (1.83%)
7AS:1,717 (1.82%):764 (1.34%):2,481 (1.64%)
7BL:1,592 (1.69%):776 (1.36%):2,368 (1.57%)
7BS:1,239 (1.32%):713 (1.25%):1,952 (1.29%)
7DL:2,040 (2.17%):1,301 (2.28%):3,341 (2.21%)
7DS:1,224 (1.30%):1,016 (1.78%):2,240 (1.48%)
Assigned:80,031 (84.98%):41,118 (72.20%):121,149 (80.16%)
